Feature,ADNIMERGE Frequency,Gene Expression Frequency,MRI Frequency,Total Frequency,Domain
M.LDL.CE,13,0,0,13,ADNIMERGE
S.LDL.CE,13,0,0,13,ADNIMERGE
M.LDL.FC,13,0,0,13,ADNIMERGE
XL.VLDL.C,12,0,0,12,ADNIMERGE
CTX_LH_PARSTRIANGULARIS_SUVR,12,0,0,12,ADNIMERGE
CTX_RH_LATERALORBITOFRONTAL_SUVR,12,0,0,12,ADNIMERGE
M.VLDL.C,10,0,0,10,ADNIMERGE
S.VLDL.P,10,0,0,10,ADNIMERGE
M.LDL.PL,10,0,0,10,ADNIMERGE
XL.VLDL.PL,9,0,0,9,ADNIMERGE
L.VLDL.CE,9,0,0,9,ADNIMERGE
S.VLDL.L,9,0,0,9,ADNIMERGE
IDL.FC,9,0,0,9,ADNIMERGE
FREEC,9,0,0,9,ADNIMERGE
CTX_LH_LATERALORBITOFRONTAL_SUVR,9,0,0,9,ADNIMERGE
XL.VLDL.CE,8,0,0,8,ADNIMERGE
S.LDL.FC,8,0,0,8,ADNIMERGE
HDL.D,8,0,0,8,ADNIMERGE
L.HDL.L,8,0,0,8,ADNIMERGE
L.HDL.P,8,0,0,8,ADNIMERGE
CTX_RH_INFERIORPARIETAL_SUVR,8,0,0,8,ADNIMERGE
CTX_RH_MEDIALORBITOFRONTAL_SUVR,8,0,0,8,ADNIMERGE
CTX_RH_POSTCENTRAL_SUVR,8,0,0,8,ADNIMERGE
XXL.VLDL.C,7,0,0,7,ADNIMERGE
M.VLDL.TG,7,0,0,7,ADNIMERGE
CTX_RH_BANKSSTS_SUVR,7,0,0,7,ADNIMERGE
CTX_RH_CAUDALANTERIORCINGULATE_SUVR,7,0,0,7,ADNIMERGE
CTX_RH_PRECENTRAL_SUVR,7,0,0,7,ADNIMERGE
LONISID,6,0,0,6,ADNIMERGE
XXL.VLDL.FC,6,0,0,6,ADNIMERGE
SERUM.C,6,0,0,6,ADNIMERGE
XL.HDL.L,6,0,0,6,ADNIMERGE
XL.HDL.P,6,0,0,6,ADNIMERGE
L.HDL.C,6,0,0,6,ADNIMERGE
L.HDL.CE,6,0,0,6,ADNIMERGE
CTX_LH_PRECENTRAL_SUVR,6,0,0,6,ADNIMERGE
CTX_RH_SUPERIORPARIETAL_SUVR,6,0,0,6,ADNIMERGE
CTX_LH_PARACENTRAL_SUVR,6,0,0,6,ADNIMERGE
CTX_RH_PARACENTRAL_SUVR,6,0,0,6,ADNIMERGE
CTX_RH_SUPERIORTEMPORAL_SUVR,6,0,0,6,ADNIMERGE
PTNO,5,0,0,5,ADNIMERGE
ADAS11,5,0,0,5,ADNIMERGE
TOTSCORE,5,0,0,5,ADNIMERGE
TOTAL13,5,0,0,5,ADNIMERGE
ADAS13,5,0,0,5,ADNIMERGE
ADAS11.BL,5,0,0,5,ADNIMERGE
ADAS13.BL,5,0,0,5,ADNIMERGE
XXL.VLDL.L,5,0,0,5,ADNIMERGE
XXL.VLDL.P,5,0,0,5,ADNIMERGE
XXL.VLDL.PL,5,0,0,5,ADNIMERGE
XL.VLDL.FC,5,0,0,5,ADNIMERGE
XL.VLDL.TG,5,0,0,5,ADNIMERGE
ESTC,5,0,0,5,ADNIMERGE
XL.HDL.FC,5,0,0,5,ADNIMERGE
L.HDL.FC,5,0,0,5,ADNIMERGE
M.HDL.L,5,0,0,5,ADNIMERGE
M.HDL.P,5,0,0,5,ADNIMERGE
M.HDL.C,5,0,0,5,ADNIMERGE
M.HDL.FC,5,0,0,5,ADNIMERGE
CC_MID_ANTERIOR_SUVR,5,0,0,5,ADNIMERGE
CC_POSTERIOR_SUVR,5,0,0,5,ADNIMERGE
CTX_LH_CAUDALANTERIORCINGULATE_SUVR,5,0,0,5,ADNIMERGE
CTX_RH_MIDDLETEMPORAL_SUVR,5,0,0,5,ADNIMERGE
CTX_LH_MEDIALORBITOFRONTAL_SUVR,5,0,0,5,ADNIMERGE
CTX_RH_INSULA_SUVR,5,0,0,5,ADNIMERGE
CTX_LH_POSTCENTRAL_SUVR,5,0,0,5,ADNIMERGE
FRONTAL_SUVR,5,0,0,5,ADNIMERGE
COMPOSITE_SUVR,5,0,0,5,ADNIMERGE
SAMPLE.BAR.CODE,4,0,0,4,ADNIMERGE
SAMPLE.IDENTIFICATION,4,0,0,4,ADNIMERGE
IMAGEUID_1,4,0,0,4,ADNIMERGE
BILAVCENT,4,0,0,4,ADNIMERGE
BIREDCENT,4,0,0,4,ADNIMERGE
BILAVTRNS,4,0,0,4,ADNIMERGE
BIREDFROZ,4,0,0,4,ADNIMERGE
BIREDTRNS,4,0,0,4,ADNIMERGE
VENTVOL,4,0,0,4,ADNIMERGE
VENTRICLES,4,0,0,4,ADNIMERGE
VENTRICLES.BL,4,0,0,4,ADNIMERGE
S.LDL.PL,4,0,0,4,ADNIMERGE
XL.HDL.PL,4,0,0,4,ADNIMERGE
XL.HDL.C,4,0,0,4,ADNIMERGE
XL.HDL.CE,4,0,0,4,ADNIMERGE
L.HDL.PL,4,0,0,4,ADNIMERGE
M.HDL.PL,4,0,0,4,ADNIMERGE
M.HDL.CE,4,0,0,4,ADNIMERGE
CC_ANTERIOR_SUVR,4,0,0,4,ADNIMERGE
CC_CENTRAL_SUVR,4,0,0,4,ADNIMERGE
CTX_LH_INFERIORTEMPORAL_SUVR,4,0,0,4,ADNIMERGE
CTX_RH_INFERIORTEMPORAL_SUVR,4,0,0,4,ADNIMERGE
CTX_LH_ISTHMUSCINGULATE_SUVR,4,0,0,4,ADNIMERGE
CTX_RH_PARSORBITALIS_SUVR,4,0,0,4,ADNIMERGE
CINGULATE_SUVR,4,0,0,4,ADNIMERGE
PARIETAL_SUVR,4,0,0,4,ADNIMERGE
TEMPORAL_SUVR,4,0,0,4,ADNIMERGE
MPACCDIGIT,3,0,0,3,ADNIMERGE
MPACCTRAILSB,3,0,0,3,ADNIMERGE
MPACCDIGIT.BL,3,0,0,3,ADNIMERGE
MPACCTRAILSB.BL,3,0,0,3,ADNIMERGE
RAVLT.IMMEDIATE,3,0,0,3,ADNIMERGE
RAVLT.IMMEDIATE.BL,3,0,0,3,ADNIMERGE
HIPPOCAMPUS,3,0,0,3,ADNIMERGE
HIPPOCAMPUS.BL,3,0,0,3,ADNIMERGE
ST37SV,3,0,0,3,ADNIMERGE
ST96SV,3,0,0,3,ADNIMERGE
SAMPLE_BAR_CODE,3,0,0,3,ADNIMERGE
REMNANT.C,3,0,0,3,ADNIMERGE
VLDL.D,3,0,0,3,ADNIMERGE
VLDL.C,3,0,0,3,ADNIMERGE
S.VLDL.FC,3,0,0,3,ADNIMERGE
HDL.C,3,0,0,3,ADNIMERGE
HDL2.C,3,0,0,3,ADNIMERGE
WM_HYPOINTENSITIES_SUVR,3,0,0,3,ADNIMERGE
CC_MID_POSTERIOR_SUVR,3,0,0,3,ADNIMERGE
CTX_LH_INFERIORPARIETAL_SUVR,3,0,0,3,ADNIMERGE
CTX_LH_MIDDLETEMPORAL_SUVR,3,0,0,3,ADNIMERGE
CEREBELLUMGREYMATTER_VOLUME,3,0,0,3,ADNIMERGE
BRAIN_STEM_SUVR,3,0,0,3,ADNIMERGE
SUMMARYSUVR_WHOLECEREBNORM,3,0,0,3,ADNIMERGE
MMSCORE,2,0,0,2,ADNIMERGE
MMSE,2,0,0,2,ADNIMERGE
MMSE.BL,2,0,0,2,ADNIMERGE
IMAGEUID_2,2,0,0,2,ADNIMERGE
AVTOT3,2,0,0,2,ADNIMERGE
AVTOT4,2,0,0,2,ADNIMERGE
AVDEL30MIN,2,0,0,2,ADNIMERGE
RAVLT.PERC.FORGETTING,2,0,0,2,ADNIMERGE
RAVLT.PERC.FORGETTING.BL,2,0,0,2,ADNIMERGE
ADASQ4,2,0,0,2,ADNIMERGE
Q4SCORE,2,0,0,2,ADNIMERGE
ADASQ4.BL,2,0,0,2,ADNIMERGE
FAQ,2,0,0,2,ADNIMERGE
FAQTOTAL,2,0,0,2,ADNIMERGE
FAQ.BL,2,0,0,2,ADNIMERGE
BILAVTIME,2,0,0,2,ADNIMERGE
BIREDTIME,2,0,0,2,ADNIMERGE
CLTIME,2,0,0,2,ADNIMERGE
IMAGEUID,2,0,0,2,ADNIMERGE
IMAGEUID.BL,2,0,0,2,ADNIMERGE
ICV,2,0,0,2,ADNIMERGE
ST10CV,2,0,0,2,ADNIMERGE
ICV.BL,2,0,0,2,ADNIMERGE
ST29SV,2,0,0,2,ADNIMERGE
ST88SV,2,0,0,2,ADNIMERGE
ESTIMATE,2,0,0,2,ADNIMERGE
LWR,2,0,0,2,ADNIMERGE
UPR,2,0,0,2,ADNIMERGE
BRAINVOL,2,0,0,2,ADNIMERGE
WHOLEBRAIN,2,0,0,2,ADNIMERGE
WHOLEBRAIN.BL,2,0,0,2,ADNIMERGE
XXL.VLDL.CE,2,0,0,2,ADNIMERGE
M.VLDL.CE,2,0,0,2,ADNIMERGE
S.VLDL.C,2,0,0,2,ADNIMERGE
XS.VLDL.L,2,0,0,2,ADNIMERGE
XS.VLDL.P,2,0,0,2,ADNIMERGE
LDL.TG,2,0,0,2,ADNIMERGE
PC,2,0,0,2,ADNIMERGE
TOTPG,2,0,0,2,ADNIMERGE
TOTCHO,2,0,0,2,ADNIMERGE
PUFA,2,0,0,2,ADNIMERGE
TOTFA,2,0,0,2,ADNIMERGE
FAW6,2,0,0,2,ADNIMERGE
MEAN,2,0,0,2,ADNIMERGE
MEDIAN,2,0,0,2,ADNIMERGE
MAX,2,0,0,2,ADNIMERGE
ERODED_SUBCORTICALWM_SUVR,2,0,0,2,ADNIMERGE
LEFT_CEREBRAL_WHITE_MATTER_SUVR,2,0,0,2,ADNIMERGE
RIGHT_CEREBRAL_WHITE_MATTER_SUVR,2,0,0,2,ADNIMERGE
CTX_LH_BANKSSTS_SUVR,2,0,0,2,ADNIMERGE
CTX_LH_FUSIFORM_SUVR,2,0,0,2,ADNIMERGE
CTX_RH_FUSIFORM_SUVR,2,0,0,2,ADNIMERGE
CTX_LH_SUPERIORTEMPORAL_SUVR,2,0,0,2,ADNIMERGE
LEFT_CEREBELLUM_CORTEX_VOLUME,2,0,0,2,ADNIMERGE
RIGHT_CEREBELLUM_CORTEX_VOLUME,2,0,0,2,ADNIMERGE
LEFT_VENTRALDC_SUVR,2,0,0,2,ADNIMERGE
RIGHT_VENTRALDC_SUVR,2,0,0,2,ADNIMERGE
AGE,1,0,0,1,ADNIMERGE
PTDOB,1,0,0,1,ADNIMERGE
LDELTOTAL,1,0,0,1,ADNIMERGE
LDELTOTAL.BL,1,0,0,1,ADNIMERGE
CDRSB,1,0,0,1,ADNIMERGE
CDRSB.BL,1,0,0,1,ADNIMERGE
LDELBEGIN,1,0,0,1,ADNIMERGE
LIMMEND,1,0,0,1,ADNIMERGE
CSF,1,0,0,1,ADNIMERGE
CSFVOL,1,0,0,1,ADNIMERGE
RAVLT.LEARNING,1,0,0,1,ADNIMERGE
RAVLT.LEARNING.BL,1,0,0,1,ADNIMERGE
RAVLT.FORGETTING,1,0,0,1,ADNIMERGE
RAVLT.FORGETTING.BL,1,0,0,1,ADNIMERGE
TRABSCOR,1,0,0,1,ADNIMERGE
TRABSCOR.BL,1,0,0,1,ADNIMERGE
ST127SV,1,0,0,1,ADNIMERGE
VENTRICLE_3RD_VOLUME,1,0,0,1,ADNIMERGE
ST17SV,1,0,0,1,ADNIMERGE
ST76SV,1,0,0,1,ADNIMERGE
ST18SV,1,0,0,1,ADNIMERGE
ST77SV,1,0,0,1,ADNIMERGE
ST9SV,1,0,0,1,ADNIMERGE
VENTRICLE_4TH_VOLUME,1,0,0,1,ADNIMERGE
PLA,1,0,0,1,ADNIMERGE
PLAVOL,1,0,0,1,ADNIMERGE
LONI_IMAGE,1,0,0,1,ADNIMERGE
LONI_STUDY,1,0,0,1,ADNIMERGE
IMAGEUID_LONI,1,0,0,1,ADNIMERGE
STUDYID_LONI,1,0,0,1,ADNIMERGE
WELL.POSITION,1,0,0,1,ADNIMERGE
WELL_POSITION,1,0,0,1,ADNIMERGE
PC.AE.C36.4,1,0,0,1,ADNIMERGE
PC.AE.C38.5,1,0,0,1,ADNIMERGE
C13.PE.16.0.22.6,1,0,0,1,ADNIMERGE
C13.PE.P.16.0.22.6,1,0,0,1,ADNIMERGE
APOB,1,0,0,1,ADNIMERGE
GDCA.CA,1,0,0,1,ADNIMERGE
TDCA.CA,1,0,0,1,ADNIMERGE
S.VLDL.PL,1,0,0,1,ADNIMERGE
S.VLDL.CE,1,0,0,1,ADNIMERGE
XS.VLDL.C,1,0,0,1,ADNIMERGE
XS.VLDL.CE,1,0,0,1,ADNIMERGE
XS.VLDL.TG,1,0,0,1,ADNIMERGE
IDL.TG,1,0,0,1,ADNIMERGE
L.LDL.TG,1,0,0,1,ADNIMERGE
S.HDL.C,1,0,0,1,ADNIMERGE
S.HDL.CE,1,0,0,1,ADNIMERGE
SFA,1,0,0,1,ADNIMERGE
LA,1,0,0,1,ADNIMERGE
ENTORHINAL,1,0,0,1,ADNIMERGE
ENTORHINAL.BL,1,0,0,1,ADNIMERGE
FUSIFORM,1,0,0,1,ADNIMERGE
FUSIFORM.BL,1,0,0,1,ADNIMERGE
MIDTEMP,1,0,0,1,ADNIMERGE
MIDTEMP.BL,1,0,0,1,ADNIMERGE
MIN,1,0,0,1,ADNIMERGE
MODE,1,0,0,1,ADNIMERGE
CTX_LH_CUNEUS_SUVR,1,0,0,1,ADNIMERGE
CTX_RH_CUNEUS_SUVR,1,0,0,1,ADNIMERGE
CTX_LH_PARSORBITALIS_SUVR,1,0,0,1,ADNIMERGE
CTX_LH_PERICALCARINE_SUVR,1,0,0,1,ADNIMERGE
CTX_RH_PERICALCARINE_SUVR,1,0,0,1,ADNIMERGE
CTX_LH_TRANSVERSETEMPORAL_SUVR,1,0,0,1,ADNIMERGE
CTX_RH_TRANSVERSETEMPORAL_SUVR,1,0,0,1,ADNIMERGE
CTX_LH_FRONTALPOLE_SUVR,1,0,0,1,ADNIMERGE
CTX_RH_FRONTALPOLE_SUVR,1,0,0,1,ADNIMERGE
LEFT_CEREBELLUM_WHITE_MATTER_SUVR,1,0,0,1,ADNIMERGE
LEFT_CEREBELLUM_WHITE_MATTER_VOLUME,1,0,0,1,ADNIMERGE
RIGHT_CEREBELLUM_WHITE_MATTER_VOLUME,1,0,0,1,ADNIMERGE
LEFT_CEREBRAL_WHITE_MATTER_VOLUME,1,0,0,1,ADNIMERGE
RIGHT_CEREBRAL_WHITE_MATTER_VOLUME,1,0,0,1,ADNIMERGE
LEFT_HIPPOCAMPUS_SUVR,1,0,0,1,ADNIMERGE
RIGHT_HIPPOCAMPUS_SUVR,1,0,0,1,ADNIMERGE
LEFT_LATERAL_VENTRICLE_SUVR,1,0,0,1,ADNIMERGE
RIGHT_LATERAL_VENTRICLE_SUVR,1,0,0,1,ADNIMERGE
LEFT_PUTAMEN_SUVR,1,0,0,1,ADNIMERGE
RIGHT_PUTAMEN_SUVR,1,0,0,1,ADNIMERGE
WHOLECEREBELLUM_VOLUME,1,0,0,1,ADNIMERGE
MCSUVRCERE,1,0,0,1,ADNIMERGE
PQDATE,1,0,0,1,ADNIMERGE
PQDATTRA,1,0,0,1,ADNIMERGE
TIMEBEGAN,1,0,0,1,ADNIMERGE
TIMEEND,1,0,0,1,ADNIMERGE
